Waktu;Harga
31-12-17;13921.48064
01-01-18;13464.65361
02-01-18;14754.3222
03-01-18;15010.28616
04-01-18;15070.3008
05-01-18;16997.22741
06-01-18;17103.58928
07-01-18;16231.695
08-01-18;14937.41509
09-01-18;14378.58622
10-01-18;14669.08827
11-01-18;13186.75494
12-01-18;13789.44366
13-01-18;14231.22506
14-01-18;13681.06546
15-01-18;13591.6962
16-01-18;11431.04011
17-01-18;11159.60859
18-01-18;11246.03973
19-01-18;11440.25556
20-01-18;12768.40459
21-01-18;11422.39426
22-01-18;10737.35058
23-01-18;10849.39188
24-01-18;11225.89617
25-01-18;11130.46495
26-01-18;11035.55461
27-01-18;11320.97019
28-01-18;11615.95871
29-01-18;11132.55431
30-01-18;9959.546715
31-01-18;10050.0958
01-02-18;9039.865075
02-02-18;8786.07738
03-02-18;9132.100322
04-02-18;8250.526896
05-02-18;6849.542559
06-02-18;7738.64396
07-02-18;7624.59539
08-02-18;8218.580852
09-02-18;8660.453468
10-02-18;8530.292805
11-02-18;8096.728481
12-02-18;8907.670179
13-02-18;8523.966932
14-02-18;9467.301033
15-02-18;10106.73308
16-02-18;10189.31648
17-02-18;11085.59841
18-02-18;10452.09198
19-02-18;11139.35573
20-02-18;11245.93232
21-02-18;10458.86509
22-02-18;9878.158943
23-02-18;10159.06561
24-02-18;9686.60178
25-02-18;9603.227477
26-02-18;10312.36571
27-02-18;10654.10729
28-02-18;10307.02497
