Waktu;Harga
29-Nov-17;9879.328333
02-Dec-17;11071.36833
05-Dec-17;11878.43333
08-Dec-17;16007.43667
11-Dec-17;16762.11667
14-Dec-17;16678.892
17-Dec-17;19289.785
20-Dec-17;16026.27167
23-Dec-17;15360.26167
26-Dec-17;15999.04833
29-Dec-17;14640.14
01-Jan-18;13812.18667
04-Jan-18;15199.355
07-Jan-18;16651.47167
10-Jan-18;15126.39833
13-Jan-18;14499.77333
16-Jan-18;11180.99833
19-Jan-18;11422.44
22-Jan-18;10544.59333
25-Jan-18;11214.44
28-Jan-18;11765.71
31-Jan-18;10125.01333
03-Feb-18;9076.678333
06-Feb-18;7685.633333
09-Feb-18;8535.516667
12-Feb-18;8811.343333
15-Feb-18;9977.154
18-Feb-18;10503.29833
21-Feb-18;10532.79167
24-Feb-18;9697.956
27-Feb-18;10763.88333
