Waktu;Harga
09-Aug-15;1.19999
12-Aug-15;1.288
15-Aug-15;1.782222443
18-Aug-15;1.084186569
21-Aug-15;1.43588
24-Aug-15;1.23804
27-Aug-15;1.13646
30-Aug-15;1.32
02-Sep-15;1.308280871
05-Sep-15;1.362871072
08-Sep-15;1.263493787
11-Sep-15;0.927715708
14-Sep-15;0.955
17-Sep-15;0.875
20-Sep-15;0.94116
23-Sep-15;0.91
26-Sep-15;0.77032
29-Sep-15;0.68163
02-Oct-15;0.66467
05-Oct-15;0.60777
08-Oct-15;0.633798841
11-Oct-15;0.59931
14-Oct-15;0.483236302
17-Oct-15;0.52299
20-Oct-15;0.440034717
23-Oct-15;0.56491
26-Oct-15;0.700519544
29-Oct-15;1.179406721
01-Nov-15;0.99
04-Nov-15;0.799
07-Nov-15;0.911850193
10-Nov-15;0.90191467
13-Nov-15;0.89998422
16-Nov-15;0.914427236
19-Nov-15;0.94
22-Nov-15;0.97
25-Nov-15;0.87
28-Nov-15;0.907557786
01-Dec-15;0.863293396
04-Dec-15;0.84
07-Dec-15;0.78994398
10-Dec-15;0.84374
13-Dec-15;0.91994
16-Dec-15;0.8671
19-Dec-15;0.893520944
22-Dec-15;0.88
25-Dec-15;0.865924905
28-Dec-15;0.842445938
31-Dec-15;0.94884
03-Jan-16;0.957062928
06-Jan-16;0.95
09-Jan-16;0.969910046
12-Jan-16;1.17745
15-Jan-16;1.290891047
18-Jan-16;1.466244182
21-Jan-16;1.49593
24-Jan-16;2.101384785
27-Jan-16;2.401309818
30-Jan-16;2.44067
02-Feb-16;2.44653
05-Feb-16;2.56451
08-Feb-16;3.183772193
11-Feb-16;5.871940323
14-Feb-16;5.155843983
17-Feb-16;3.810980289
20-Feb-16;4.350489201
23-Feb-16;5.609936197
26-Feb-16;5.875550437
29-Feb-16;6.333253431
03-Mar-16;9.284910244
06-Mar-16;10.98440672
09-Mar-16;11.81709865
12-Mar-16;13.28365882
15-Mar-16;13.04229902
18-Mar-16;10.84613985
21-Mar-16;11.83476552
24-Mar-16;11.16782094
27-Mar-16;10.38643971
30-Mar-16;11.8662581
02-Apr-16;11.62532648
05-Apr-16;10.43644489
08-Apr-16;9.714492462
11-Apr-16;8.695256715
14-Apr-16;8.455838275
17-Apr-16;9.338502452
20-Apr-16;8.505087213
23-Apr-16;8.412477365
26-Apr-16;7.432436472
29-Apr-16;7.449840876
02-May-16;10.07125278
05-May-16;9.76751993
08-May-16;9.5025564
11-May-16;9.931943048
14-May-16;10.23169773
17-May-16;12.18612969
20-May-16;13.65531947
23-May-16;13.33805352
26-May-16;12.52695202
29-May-16;12.38200896
01-Jun-16;13.91321921
04-Jun-16;13.72400736
07-Jun-16;14.53642036
10-Jun-16;13.94947896
13-Jun-16;17.67302421
16-Jun-16;20.72886637
19-Jun-16;12.31845337
22-Jun-16;13.22615496
25-Jun-16;14.3489549
28-Jun-16;12.18804331
01-Jul-16;12.27652637
04-Jul-16;11.41856442
07-Jul-16;10.1132562
10-Jul-16;10.96154541
13-Jul-16;10.44727256
16-Jul-16;11.71866588
19-Jul-16;11.67562511
22-Jul-16;14.82488289
25-Jul-16;13.84029495
28-Jul-16;12.88820316
31-Jul-16;11.94611594
03-Aug-16;10.54202449
