Waktu;Harga
09-Aug-15;265.42
12-Aug-15;267.89
15-Aug-15;265.41
18-Aug-15;253.91
21-Aug-15;233.59
24-Aug-15;213.24
27-Aug-15;228.27
30-Aug-15;226.47
02-Sep-15;230.68
05-Sep-15;234.67
08-Sep-15;243.08
11-Sep-15;239.93
14-Sep-15;230.88
17-Sep-15;234
20-Sep-15;230.2
23-Sep-15;229.95
26-Sep-15;233.76
29-Sep-15;237.68
02-Oct-15;237.78
05-Oct-15;239.22
08-Oct-15;243.91
11-Oct-15;248.08
14-Oct-15;254.6
17-Oct-15;269.07
20-Oct-15;269.8
23-Oct-15;277.43
26-Oct-15;284.95
29-Oct-15;310.36
01-Nov-15;311.5
04-Nov-15;437.05
07-Nov-15;387.38
10-Nov-15;353.58
13-Nov-15;332.2
16-Nov-15;329.32
19-Nov-15;329
22-Nov-15;322.33
25-Nov-15;325
28-Nov-15;353.88
01-Dec-15;359.32
04-Dec-15;360.88
07-Dec-15;395.58
10-Dec-15;415.64
13-Dec-15;438.79
16-Dec-15;454.43
19-Dec-15;461.16
22-Dec-15;435.98
25-Dec-15;454.98
28-Dec-15;423.98
31-Dec-15;429.34
03-Jan-16;428.13
06-Jan-16;430.75
09-Jan-16;450.15
12-Jan-16;446.66
15-Jan-16;391.62
18-Jan-16;385.28
21-Jan-16;408
24-Jan-16;404.75
27-Jan-16;394.45
30-Jan-16;378.24
02-Feb-16;373.48
05-Feb-16;386.49
08-Feb-16;375.8
11-Feb-16;376.75
14-Feb-16;402.38
17-Feb-16;418.04
20-Feb-16;439.48
23-Feb-16;417
26-Feb-16;424.34
29-Feb-16;436.18
03-Mar-16;421.44
06-Mar-16;408.86
09-Mar-16;413.1
12-Mar-16;410
15-Mar-16;414.78
18-Mar-16;408.87
21-Mar-16;410.49
24-Mar-16;416.47
27-Mar-16;426.8
30-Mar-16;412.35
02-Apr-16;418.07
05-Apr-16;421.77
08-Apr-16;422.2
11-Apr-16;420.69
14-Apr-16;423.76
17-Apr-16;425.71
20-Apr-16;442.34
23-Apr-16;451.29
26-Apr-16;467.98
29-Apr-16;456.16
02-May-16;443.9
05-May-16;448.51
08-May-16;457.82
11-May-16;452.51
14-May-16;455.65
17-May-16;452.89
20-May-16;441.25
23-May-16;442.17
26-May-16;452.49
29-May-16;512.16
01-Jun-16;539.47
04-Jun-16;573.74
07-Jun-16;577.54
10-Jun-16;577.549875
13-Jun-16;702.0665
16-Jun-16;762.43005
19-Jun-16;760.8168
22-Jun-16;587.4542375
25-Jun-16;664.9068875
28-Jun-16;646.378475
01-Jul-16;675.1863375
04-Jul-16;676.3294375
07-Jul-16;636.3588625
10-Jul-16;648.0949
13-Jul-16;657.4524875
16-Jul-16;662.15335
19-Jul-16;672.8432
22-Jul-16;651.5813625
25-Jul-16;654.69545
28-Jul-16;655.32875
31-Jul-16;628.015375
03-Aug-16;565.0516714
06-Aug-16;588.2312714
09-Aug-16;588.7753875
12-Aug-16;587.7556
15-Aug-16;570.142225
18-Aug-16;576.0360875
21-Aug-16;582.821675
24-Aug-16;582.8479875
27-Aug-16;571.5419875
30-Aug-16;578.616575
02-Sep-16;576.218
05-Sep-16;608.10975
08-Sep-16;627.777875
11-Sep-16;608.15855
14-Sep-16;612.0847375
17-Sep-16;608.006875
20-Sep-16;609.74875
23-Sep-16;604.2225
26-Sep-16;608.1469625
29-Sep-16;606.36375
02-Oct-16;610.5189125
05-Oct-16;612.3522875
08-Oct-16;618.046
11-Oct-16;639.30995
14-Oct-16;639.5656429
17-Oct-16;638.1833875
20-Oct-16;630.22705
23-Oct-16;653.0028625
26-Oct-16;672.2214125
29-Oct-16;714.89545
01-Nov-16;728.2068875
04-Nov-16;703.6940875
07-Nov-16;703.819
10-Nov-16;713.690125
13-Nov-16;701.901125
16-Nov-16;736.914375
19-Nov-16;750.030875
22-Nov-16;748.749375
25-Nov-16;739.786125
28-Nov-16;733.052125
01-Dec-16;752.246125
04-Dec-16;764.81625
07-Dec-16;766.1166375
10-Dec-16;773.40125
13-Dec-16;778.4935
16-Dec-16;781.568375
19-Dec-16;789.524125
22-Dec-16;860.599875
25-Dec-16;886.900375
28-Dec-16;967.480375
31-Dec-16;959.879875
03-Jan-17;1023.141875
06-Jan-17;883.099175
09-Jan-17;894.18025
12-Jan-17;803.372375
15-Jan-17;822.2076
18-Jan-17;874.9949625
21-Jan-17;920.4479
24-Jan-17;890.320225
27-Jan-17;919.27975
30-Jan-17;921.179325
02-Feb-17;1007.613713
05-Feb-17;1014.837725
08-Feb-17;1052.376613
11-Feb-17;1008.846663
14-Feb-17;1011.78025
17-Feb-17;1055.53685
20-Feb-17;1084.755013
23-Feb-17;1172.01715
26-Feb-17;1175.04975
01-Mar-17;1222.4994
04-Mar-17;1267.0272
07-Mar-17;1238.447
10-Mar-17;1098.617129
13-Mar-17;1239.816225
16-Mar-17;1180.945657
19-Mar-17;1029.800813
22-Mar-17;1028.726863
25-Mar-17;959.3400857
28-Mar-17;1046.127625
31-Mar-17;1079.549314
03-Apr-17;1141.813
06-Apr-17;1196.307938
09-Apr-17;1208.8005
12-Apr-17;1218.92205
15-Apr-17;1184.880671
18-Apr-17;1216.186743
21-Apr-17;1258.361413
24-Apr-17;1262.902775
27-Apr-17;1345.353913
30-Apr-17;1353.0045
03-May-17;1507.576857
06-May-17;1560.4102
09-May-17;1721.284971
12-May-17;1720.4785
15-May-17;1723.126938
18-May-17;1899.082888
21-May-17;2046.534463
24-May-17;2379.193833
27-May-17;2014.052963
30-May-17;2239.205343
02-Jun-17;2446.142414
05-Jun-17;2698.313813
08-Jun-17;2792.999188
11-Jun-17;2961.829612
14-Jun-17;2447.041563
17-Jun-17;2665.927
20-Jun-17;2754.97825
23-Jun-17;2710.412286
26-Jun-17;2436.451057
29-Jun-17;2544.414475
02-Jul-17;2501.191343
05-Jul-17;2619.187503
08-Jul-17;2562.130662
11-Jul-17;2369.862129
14-Jul-17;2190.947833
17-Jul-17;2176.623488
20-Jul-17;2898.188417
23-Jul-17;2725.549717
26-Jul-17;2495.028586
29-Jul-17;2722.512786
01-Aug-17;2710.413067
04-Aug-17;2873.851083
07-Aug-17;3407.226833
10-Aug-17;3424.4042
13-Aug-17;4125.54802
16-Aug-17;4360.876871
19-Aug-17;4222.662214
22-Aug-17;4082.180983
25-Aug-17;4363.05445
28-Aug-17;4391.673517
31-Aug-17;4748.255
03-Sep-17;4648.159983
06-Sep-17;4641.822017
09-Sep-17;4375.55952
12-Sep-17;4219.036617
15-Sep-17;3774.265283
18-Sep-17;4093.316667
21-Sep-17;3658.898183
24-Sep-17;3703.04065
27-Sep-17;4202.554983
30-Sep-17;4335.368317
03-Oct-17;4293.3066
06-Oct-17;4345.603333
09-Oct-17;4777.967817
12-Oct-17;5325.130683
15-Oct-17;5647.311667
18-Oct-17;5546.1761
21-Oct-17;6020.371683
24-Oct-17;5505.827767
27-Oct-17;5772.504983
30-Oct-17;6105.87422
02-Nov-17;7068.0201
05-Nov-17;7377.012367
08-Nov-17;7415.87825
11-Nov-17;6362.851033
14-Nov-17;6635.412633
17-Nov-17;7786.884367
20-Nov-17;8255.596817
23-Nov-17;8148.95
26-Nov-17;9284.1438
29-Nov-17;9879.328333
02-Dec-17;11071.36833
05-Dec-17;11878.43333
08-Dec-17;16007.43667
11-Dec-17;16762.11667
14-Dec-17;16678.892
17-Dec-17;19289.785
20-Dec-17;16026.27167
23-Dec-17;15360.26167
26-Dec-17;15999.04833
29-Dec-17;14640.14
01-Jan-18;13812.18667
04-Jan-18;15199.355
07-Jan-18;16651.47167
10-Jan-18;15126.39833
13-Jan-18;14499.77333
16-Jan-18;11180.99833
19-Jan-18;11422.44
22-Jan-18;10544.59333
25-Jan-18;11214.44
28-Jan-18;11765.71
31-Jan-18;10125.01333
03-Feb-18;9076.678333
06-Feb-18;7685.633333
09-Feb-18;8535.516667
12-Feb-18;8811.343333
15-Feb-18;9977.154
18-Feb-18;10503.29833
21-Feb-18;10532.79167
24-Feb-18;9697.956
27-Feb-18;10763.88333
02-Mar-18;11055.815
05-Mar-18;11595.54
08-Mar-18;9429.111667
11-Mar-18;9761.396667
14-Mar-18;8151.531667
17-Mar-18;7993.674644
20-Mar-18;8986.948333
23-Mar-18;8686.826667
26-Mar-18;8197.548333
29-Mar-18;7172.28
01-Apr-18;6794.105
04-Apr-18;6787.761667
07-Apr-18;6927.688
10-Apr-18;6787.571667
13-Apr-18;7895.408333
16-Apr-18;8043.803333
19-Apr-18;8254.625
22-Apr-18;8838.548333
25-Apr-18;8995.506667
28-Apr-18;9326.173333
01-May-18;9075.136667
04-May-18;9710.73
07-May-18;9345.69
10-May-18;9101.483333
13-May-18;8727.651667
16-May-18;8340.703333
19-May-18;8223.288333
22-May-18;8015.58
25-May-18;7445.238333
28-May-18;7130.541667
31-May-18;7491.434
03-Jun-18;7699.886
06-Jun-18;7655.613333
09-Jun-18;7564.408333
12-Jun-18;6535.081667
15-Jun-18;6434.088
18-Jun-18;6713.488
21-Jun-18;6733.901667
24-Jun-18;6037.008333
27-Jun-18;6105.295
30-Jun-18;6381.390833
03-Jul-18;6613.685833
06-Jul-18;6569.496154
09-Jul-18;6723.8725
12-Jul-18;6233.595
15-Jul-18;6316.881667
18-Jul-18;7398.661667
21-Jul-18;7352.495385
24-Jul-18;8112.93
27-Jul-18;8025.2575
30-Jul-18;8143.148333
02-Aug-18;7593.149167
05-Aug-18;6998.718333
08-Aug-18;6450.366923
