Waktu;Harga1;Harga2
31-12-17;13921.48064;13921.48064
01-01-18;13218.82497;14594.59806
02-01-18;13907.07052;13896.55491
03-01-18;14512.22884;14400.1062
04-01-18;13044.47985;14872.25314
05-01-18;15674.88485;15819.4455
06-01-18;16191.78741;15430.33369
07-01-18;16090.33082;13536.91921
08-01-18;15872.82805;13894.38793
09-01-18;17956.8662;15485.34188
10-01-18;18277.00457;17121.81508
11-01-18;18469.97835;18161.49695
12-01-18;16286.33042;20291.84082
13-01-18;15527.83491;19755.6551
14-01-18;13812.72524;20943.99051
15-01-18;13936.67633;20013.08788
16-01-18;14370.5261;19286.61231
17-01-18;11499.8186;19791.88738
18-01-18;11342.13188;19278.24207
19-01-18;10030.36724;18056.99182
20-01-18;10318.0503;18972.50798
21-01-18;10552.0973;19151.07422
22-01-18;9737.218056;20969.56235
23-01-18;9694.669317;19094.5711
24-01-18;9842.586072;18470.70742
25-01-18;9947.895267;17752.11937
26-01-18;11355.44951;17389.67837
27-01-18;11566.71939;18158.21054
28-01-18;10523.03905;16717.52614
29-01-18;10514.53202;17869.6303
30-01-18;10567.6792;17195.45786
31-01-18;10465.09103;18488.39295
01-02-18;10244.56379;20340.06348
02-02-18;10886.83294;22895.33854
03-02-18;12353.7723;21285.86994
04-02-18;13589.57799;20651.5622
05-02-18;12906.9609;21602.22229
06-02-18;12294.37089;22895.1454
07-02-18;12774.70163;22139.92979
08-02-18;12968.30887;23249.45497
09-02-18;14839.42129;23220.5661
10-02-18;15332.1688;22266.28919
11-02-18;14430.71041;21275.84139
12-02-18;13014.70021;22993.38304
13-02-18;13130.93191;22720.17286
14-02-18;14689.81057;22054.3033
15-02-18;13859.39223;24907.52363
16-02-18;13805.47819;25094.8738
17-02-18;13898.21165;22987.967
18-02-18;13264.13533;23033.74015
19-02-18;14186.12313;22579.84389
20-02-18;15361.01042;21960.63326
21-02-18;15328.32953;22307.74515
22-02-18;13463.33808;19071.90393
23-02-18;12971.54061;19276.71403
24-02-18;12854.90502;17940.89043
25-02-18;12865.37026;18495.8682
26-02-18;12779.63285;19119.08627
27-02-18;12818.88612;15892.73253
28-02-18;12157.06562;16339.54868

